,computed_x,computed_y,distance_error,x,y,configuration
25,7.5,2.5,2.082666810995395,6.65377778,0.597,5 mean
26,6.300000000000001,2.1,0.4697230222394132,6.65377778,1.791,5 mean
27,4.5,0.0,3.680894419244014,6.65377778,2.985,5 mean
28,6.5,5.300000000000001,1.1314983895798214,6.65377778,4.179,5 mean
29,6.300000000000001,4.2,1.2251888497785672,6.65377778,5.373,5 mean
30,5.800000000000001,2.4000000000000004,2.7402683352560406,7.86355556,0.597,5 mean
31,7.800000000000001,1.9000000000000001,0.12617570767351993,7.86355556,1.791,5 mean
32,9.5,1.6,2.143869260287789,7.86355556,2.985,5 mean
33,9.600000000000001,1.1,3.5348946650794164,7.86355556,4.179,5 mean
34,8.700000000000001,0.30000000000000004,5.141494753591306,7.86355556,5.373,5 mean
35,8.5,1.5,1.069635502070163,9.07333333,0.597,5 mean
36,8.3,1.7000000000000002,0.7786690178046695,9.07333333,1.791,5 mean
37,8.0,1.6,1.7522184330981367,9.07333333,2.985,5 mean
38,8.700000000000001,4.800000000000001,0.7245817933738669,9.07333333,4.179,5 mean
39,8.8,5.300000000000001,0.2829136074650506,9.07333333,5.373,5 mean
40,8.0,0.9,2.303129466748544,10.28311111,0.597,5 mean
41,10.200000000000001,2.9000000000000004,1.1121099121064575,10.28311111,1.791,5 mean
